class,superclass,methods,ivars
WCLGChatPinnedHitCatcher,UIView,1,0
WCLGSMSBackContentView,UIView,11,4
WCLGVoiceHoldRecognizer,UIGestureRecognizer,39,13
WCLGMsgMergeCellHotCache,NSObject,0,20
WCLGAvatarPickerHandler,NSObject,8,3
WCLGImageLibraryPickerViewController,UIViewController,19,5
WCLGChatAvatarMenuDelegate,NSObject,13,5
WCLGChatBottomSMSProxySendTarget,NSObject,4,0
WCLGChatTextTarget,NSObject,26,13
WCLGChatTextApplyState,NSObject,41,20
WCLGBubbleFlushDriver,NSObject,5,1
WCLGNativeProfileTitleHitView,UIView,6,2
WCLGNativeProfileTitleTapTarget,NSObject,3,1
WCLGCapsuleSearchGestureTarget,NSObject,2,0
WCLGChatTopCapsuleHostView,UIView,17,7
WCLGChatTopFadeOverlayHost,UIView,8,3
WCLGChatBottomFadeOverlayHost,UIView,8,3
WCLGChatTopMorphMenuView,UIView,17,6
WCLGChatTopAvatarOverlayView,UIImageView,1,0
WCLGChatTopMorphHostView,UIView,31,11
WCLGCodeLibraryEntry,NSObject,8,4
WCLGCodeLibraryViewController,UITableViewController,51,10
WCLGColorPickerBackgroundView,UIView,2,0
WCLGColorCanvasView,UIView,10,4
WCLGHueBarView,UIView,3,0
WCLGColorPickerViewController,UIViewController,152,51
WCLGConfig,NSObject,146,4
WCLGGlassThemeCell,UITableViewCell,16,7
WCLGDownloadCenterViewController,UIViewController,33,9
WCLGVariableBlurHostView,UIView,14,6
WCLGEdgeEffectView,UIView,26,12
WCLGFuncCardMediaController,NSObject,42,12
WCLGFuncCardPanelView,UIView,50,11
WCLGGlassInstalledItem,NSObject,18,9
WCLGGlassPackage,NSObject,22,0
WCLGGlassTheme,NSObject,32,16
WCGMultiDownloader,NSObject,32,14
WCLGGlassStore,NSObject,17,2
WCLGGlassBackgroundView,UIView,12,2
WCLGGlassUI,NSObject,21,0
WCLGGroupMemberPicker,UIViewController,62,20
WCLGFriendCapsuleButton,UIButton,25,8
WCLGHomeCapsulePinnedController,NSObject,10,1
WCLGCapsulePinnedContainerView,UIView,1,0
WCLGFuncCardChromeView,UIView,1,0
WCLGFuncCardLongPressTarget,NSObject,3,0
WCLGFuncCardDocPickerDelegate,NSObject,6,2
WCLGGroupPill,UIButton,31,10
WCLGHomeGroupBar,UIView,21,5
WCLGHGFullscreenDrawer,UIView,28,10
WCLGHGFullscreenGestureTarget,NSObject,4,0
WCLGHGPassthroughView,UIView,1,0
WCLGSessionGroup,NSObject,14,4
WCLGHomeGroups,NSObject,92,4
WCLGHomeGroupsControllerState,NSObject,14,7
WCLGHomeGroupsChrome,NSObject,6,1
WCLGHomeGroupsGestureTarget,NSObject,3,0
WCLGHomeSwipeBlockerPan,UIPanGestureRecognizer,2,0
WCLGHomeSwipeBlockerDelegate,NSObject,3,0
WCLGHomeSwipeBlockerTarget,NSObject,2,0
WCLGHomeStripSwipeTarget,NSObject,4,0
WCLGHomePinnedController,NSObject,16,2
WCLGHomePinnedPanelView,UIView,43,7
WCLGHomeTextHeaderWrapperView,UIView,2,0
WCLGHomeTextCardLongPressTarget,NSObject,2,0
WCLGKeyboardObserver,NSObject,8,0
WCLGForegroundReaffirm,NSObject,2,0
WCLGSearchActionTarget,NSObject,2,0
WCLGSearchTabBarOverlay,UIView,98,28
WCLGTextEditorViewController,UIViewController,20,6
WCLGSettingsViewController,UIViewController,210,9
WCLGTabBarVisualHostView,UIVisualEffectView,0,0
WCLGGetButton,UIControl,21,8
WCLGImageZoom,UIViewController,11,3
WCLGThemeDetailViewController,UIViewController,63,18
WCLGThemeManageCell,UITableViewCell,13,5
WCLGThemeManageViewController,UIViewController,47,11
WCLGVoiceWaveView,UIView,26,8
