initializer,class_expr,selector,selector_symbol,replacement_address,replacement_size,replacement_symbol,original_slot
initializer_01_4000.c,ch,objectForInfoDictionaryKey:,SEL_objectForInfoDictionaryKey_,0x4e20,156,sym.func.00004e20,g_57b250
initializer_01_4000.c,ch,infoDictionary,SEL_infoDictionary,0x4ed4,1720,sym.func.00004ed4,g_57b258
initializer_01_4000.c,ch1,boolForKey:,SEL_boolForKey_,0x55c0,152,sym.func.000055c0,g_57b260
initializer_01_4000.c,ch1,objectForKey:,SEL_objectForKey_,0x567c,156,sym.func.0000567c,g_57b268
initializer_02_5f1c.c,ch,viewWillAppear:,SEL_viewWillAppear_,0x652c,84,sym.func.0000652c,g_57b298
initializer_02_5f1c.c,ch,viewDidAppear:,SEL_viewDidAppear_,0x6580,140,sym.func.00006580,g_57b2a0
initializer_02_5f1c.c,ch,viewDidDisappear:,SEL_viewDidDisappear_,0x6620,100,sym.func.00006620,g_57b2a8
initializer_02_5f1c.c,ch,viewDidLayoutSubviews,SEL_viewDidLayoutSubviews,0x6684,128,sym.func.00006684,g_57b2b0
initializer_02_5f1c.c,ch,traitCollectionDidChange:,SEL_traitCollectionDidChange_,0x6718,440,sym.func.00006718,g_57b2b8
initializer_02_5f1c.c,ch,reloadBackgroundView,SEL_reloadBackgroundView,0x6934,168,sym.func.00006934,g_57b2c0
initializer_02_5f1c.c,ch,getBackgroundView,SEL_getBackgroundView,0x69f0,192,sym.func.000069f0,g_57b2c8
initializer_02_5f1c.c,ch1,getChatBackgroundViewForUser:,SEL_getChatBackgroundViewForUser_,0x6ac4,36,sym.func.00006ac4,g_57b2d0
initializer_02_5f1c.c,ch1,getChatBackgroundImagePathForUser:,SEL_getChatBackgroundImagePathForUser_,0x6ae8,156,sym.func.00006ae8,g_57b2d8
initializer_02_5f1c.c,ch1,customImageNameFor:,SEL_customImageNameFor_,0x6ba8,168,sym.func.00006ba8,g_57b2e0
initializer_02_5f1c.c,ch1,imageInPath:,SEL_imageInPath_,0x6c74,1728,sym.func.00006c74,g_57b2e8
initializer_03_7fcc.c,ch,reloadData,SEL_reloadData,0x8378,244,sym.func.00008378,g_57b338
initializer_03_7fcc.c,ch,insertRowsAtIndexPaths:withRowAnimation:,SEL_insertRowsAtIndexPaths_withRowAnimation_,0x846c,260,sym.func.0000846c,g_57b340
initializer_03_7fcc.c,ch1,viewWillAppear:,SEL_viewWillAppear_,0x8584,264,sym.func.00008584,g_57b348
initializer_03_7fcc.c,ch1,viewDidAppear:,SEL_viewDidAppear_,0x86a8,240,sym.func.000086a8,g_57b350
initializer_04_aaec.c,ch,isShowHeadImage,SEL_isShowHeadImage,0xaf0c,1364,sym.func.0000af0c,g_57b398
initializer_04_aaec.c,ch1,tableView:heightForRowAtIndexPath:,SEL_tableView_heightForRowAtIndexPath_,0xb460,460,sym.func.0000b460,g_57b3a0
initializer_05_110b8.c,ch,getHeadImageWithUseScene:withScene:withCategory:retHeadImgIsExistedLocal:,SEL_getHeadImageWithUseScene_withScene_withCategory_retHeadImgIsExistedLocal_,0x1146c,200,sym.func.0001146c,g_57b4b0
initializer_05_110b8.c,ch,getHeadImageWithUseScene:withScene:withCategory:,SEL_getHeadImageWithUseScene_withScene_withCategory_,0x1154c,172,sym.func.0001154c,g_57b4b8
initializer_05_110b8.c,ch,getHeadImage:withCategory:,SEL_getHeadImage_withCategory_,0x11610,164,sym.func.00011610,g_57b4c0
initializer_05_110b8.c,ch,getOriginalHeadImage:withCategory:,SEL_getOriginalHeadImage_withCategory_,0x116cc,164,sym.func.000116cc,g_57b4c8
initializer_05_110b8.c,ch,getRoundImage:size:withCategory:,SEL_getRoundImage_size_withCategory_,0x11788,196,sym.func.00011788,g_57b4d0
