[Fields]
     paddr name                                       vaddr comment                         
--------------------------------------------------------------------------------------------
0x00000000 header                                0x00000000 mach0_header
0x00000020 load_command_0_LC_SEGMENT_64          0x00000020 mach0_segment64
0x00000068 section_0                             0x00000068 mach0_section64
0x000000b8 section_1                             0x000000b8 mach0_section64
0x00000108 section_2                             0x00000108 mach0_section64
0x00000158 section_3                             0x00000158 mach0_section64
0x000001a8 section_4                             0x000001a8 mach0_section64
0x000001f8 section_5                             0x000001f8 mach0_section64
0x00000248 section_6                             0x00000248 mach0_section64
0x00000298 section_7                             0x00000298 mach0_section64
0x000002e8 section_8                             0x000002e8 mach0_section64
0x00000338 section_9                             0x00000338 mach0_section64
0x00000388 section_10                            0x00000388 mach0_section64
0x000003d8 section_11                            0x000003d8 mach0_section64
0x00000428 section_12                            0x00000428 mach0_section64
0x00000478 load_command_1_LC_SEGMENT_64          0x00000478 mach0_segment64
0x000004c0 section_0                             0x000004c0 mach0_section64
0x00000510 section_1                             0x00000510 mach0_section64
0x00000560 section_2                             0x00000560 mach0_section64
0x000005b0 section_3                             0x000005b0 mach0_section64
0x00000600 section_4                             0x00000600 mach0_section64
0x00000650 section_5                             0x00000650 mach0_section64
0x000006a0 load_command_2_LC_SEGMENT_64          0x000006a0 mach0_segment64
0x000006e8 section_0                             0x000006e8 mach0_section64
0x00000738 section_1                             0x00000738 mach0_section64
0x00000788 section_2                             0x00000788 mach0_section64
0x000007d8 section_3                             0x000007d8 mach0_section64
0x00000828 section_4                             0x00000828 mach0_section64
0x00000878 section_5                             0x00000878 mach0_section64
0x000008c8 section_6                             0x000008c8 mach0_section64
0x00000918 section_7                             0x00000918 mach0_section64
0x00000968 section_8                             0x00000968 mach0_section64
0x000009b8 section_9                             0x000009b8 mach0_section64
0x00000a08 section_10                            0x00000a08 mach0_section64
0x00000a58 section_11                            0x00000a58 mach0_section64
0x00000aa8 load_command_3_LC_SEGMENT_64          0x00000aa8 mach0_segment64
0x00000af0 load_command_4_LC_ID_DYLIB            0x00000af0 mach0_id_dylib_command
0x00000b60 load_command_7_LC_SYMTAB              0x00000b60 mach0_symtab_command
0x00000b78 load_command_8_LC_DYSYMTAB            0x00000b78 mach0_dysymtab_command
0x00000bc8 load_command_9_LC_UUID                0x00000bc8 mach0_uuid_command
0x00000be0 load_command_10_LC_BUILD_VERSION      0x00000be0 mach0_build_version_command
0x00000bf8 tool_0                                0x00000bf8 mach0_build_version_tool
0x00000c00 load_command_11_LC_SOURCE_VERSION     0x00000c00 mach0_source_version_command
0x00000c10 load_command_12_LC_ENCRYPTION_INFO_64 0x00000c10 mach0_encryption_info64_command
0x00000c28 load_command_13_LC_LOAD_DYLIB         0x00000c28 mach0_dylib_command
0x00000c60 load_command_14_LC_LOAD_DYLIB         0x00000c60 mach0_dylib_command
0x00000cb8 load_command_15_LC_LOAD_DYLIB         0x00000cb8 mach0_dylib_command
0x00000d18 load_command_16_LC_LOAD_DYLIB         0x00000d18 mach0_dylib_command
0x00000d68 load_command_17_LC_LOAD_DYLIB         0x00000d68 mach0_dylib_command
0x00000dc0 load_command_18_LC_LOAD_DYLIB         0x00000dc0 mach0_dylib_command
0x00000e18 load_command_19_LC_LOAD_DYLIB         0x00000e18 mach0_dylib_command
0x00000e68 load_command_20_LC_LOAD_DYLIB         0x00000e68 mach0_dylib_command
0x00000ec8 load_command_21_LC_LOAD_DYLIB         0x00000ec8 mach0_dylib_command
0x00000f20 load_command_22_LC_LOAD_DYLIB         0x00000f20 mach0_dylib_command
0x00000f78 load_command_23_LC_LOAD_DYLIB         0x00000f78 mach0_dylib_command
0x00000fc8 load_command_24_LC_LOAD_DYLIB         0x00000fc8 mach0_dylib_command
0x00001038 load_command_25_LC_LOAD_DYLIB         0x00001038 mach0_dylib_command
0x00001088 load_command_26_LC_LOAD_DYLIB         0x00001088 mach0_dylib_command
0x000010b8 load_command_27_LC_LOAD_DYLIB         0x000010b8 mach0_dylib_command
0x000010f0 load_command_28_LC_LOAD_DYLIB         0x000010f0 mach0_dylib_command
0x00001148 load_command_29_LC_FUNCTION_STARTS    0x00001148 mach0_function_starts_command
0x00001158 load_command_30_LC_DATA_IN_CODE       0x00001158 mach0_data_in_code_command
0x00001168 load_command_31_LC_CODE_SIGNATURE     0x00001168 mach0_code_signature_command

