class,kind,selector,address,size,basic_blocks,symbol
WCLGChatPinnedHitCatcher,-,hitTest:withEvent:,0x2984c,1336,44,method.WCLGChatPinnedHitCatcher.hitTest:withEvent:
WCLGSMSBackContentView,-,initWithFrame:,0x645e4,936,3,method.WCLGSMSBackContentView.initWithFrame:
WCLGSMSBackContentView,-,updateChevron:count:,0x64b14,284,1,method.WCLGSMSBackContentView.updateChevron:count:
WCLGSMSBackContentView,-,layoutSubviews,0x64c70,1528,11,method.WCLGSMSBackContentView.layoutSubviews
WCLGSMSBackContentView,-,chevronView,0x652f0,16,1,method.WCLGSMSBackContentView.chevronView
WCLGSMSBackContentView,-,setChevronView:,0x65300,20,1,method.WCLGSMSBackContentView.setChevronView:
WCLGSMSBackContentView,-,badgeView,0x65314,16,1,method.WCLGSMSBackContentView.badgeView
WCLGSMSBackContentView,-,setBadgeView:,0x65324,20,1,method.WCLGSMSBackContentView.setBadgeView:
WCLGSMSBackContentView,-,countLabel,0x65338,16,1,method.WCLGSMSBackContentView.countLabel
WCLGSMSBackContentView,-,setCountLabel:,0x65348,20,1,method.WCLGSMSBackContentView.setCountLabel:
WCLGSMSBackContentView,-,countText,0x6535c,16,1,method.WCLGSMSBackContentView.countText
WCLGSMSBackContentView,-,setCountText:,0x6536c,12,1,method.WCLGSMSBackContentView.setCountText:
WCLGVoiceHoldRecognizer,-,wclgNoop,0x8202c,4,1,method.WCLGVoiceHoldRecognizer.wclgNoop
WCLGVoiceHoldRecognizer,-,wclgCancelHoldBlock,0x82030,140,3,method.WCLGVoiceHoldRecognizer.wclgCancelHoldBlock
WCLGVoiceHoldRecognizer,-,wclgResolvedToolView,0x820bc,460,7,method.WCLGVoiceHoldRecognizer.wclgResolvedToolView
WCLGVoiceHoldRecognizer,-,wclgMountWaveViewOnToolView:,0x822a8,2448,39,method.WCLGVoiceHoldRecognizer.wclgMountWaveViewOnToolView:
WCLGVoiceHoldRecognizer,-,wclgMountHintAboveInputWithAnchor:toolView:,0x8309c,1040,14,method.WCLGVoiceHoldRecognizer.wclgMountHintAboveInputWithAnchor:toolView:
